VIN,Make,Model,Year,Drive Type,Body Class,Transmission Style,Engine Number of Cylinders,Fuel Type - Primary
3GTP1VEC4EG551563,GMC,Sierra,2014,RWD/Rear-Wheel Drive,Pickup,,8,Gasoline
1GCSCSE06AZ123805,CHEVROLET,Silverado,2010,4x2,Pickup,,8,Flexible Fuel Vehicle (FFV)
3GCPWCED5LG130317,CHEVROLET,Silverado,2020,4x2,Pickup,Automatic,8,Gasoline
5TFRM5F17HX120972,TOYOTA,Tundra,2017,4x2,Pickup,Automatic,8,Gasoline
1GT220CG8CZ231238,GMC,Sierra,2012,4WD/4-Wheel Drive/4x4,Pickup,,8,Gasoline
1GCVKREH6GZ228691,CHEVROLET,Silverado,2016,4WD/4-Wheel Drive/4x4,Pickup,,6,Gasoline
1GCHTCE37G1186784,CHEVROLET,Colorado,2016,4WD/4-Wheel Drive/4x4,Pickup,,6,Gasoline
1G1YR3DW3B5102190,CHEVROLET,Corvette,2011,,Convertible/Cabriolet,Manual/Standard,8,Gasoline
1C4BJWDG5HL705371,JEEP,Wrangler,2017,4WD/4-Wheel Drive/4x4,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,6,Gasoline
1GCNCNEH7HZ118773,CHEVROLET,Silverado,2017,4x2,Pickup,,6,Gasoline
